#{"t_start": 1591703714.7763894, "env_id": "gvgai-golddigger-lvl0-v0"}
r,l,t
-5.0,23,100354.67532
158.0,2000,100625.697592
61.0,1476,100822.882058
135.0,620,100904.993546
142.0,634,100989.20564
153.0,2000,101257.198533
0.0,25,101260.61483
157.0,2000,101531.774136
144.0,319,101576.245396
151.0,512,101646.865344
123.0,2000,101944.857462
1.0,269,101986.806971
145.0,1245,102174.319845
141.0,336,102226.265311
31.0,44,102233.217494
10.0,44,102240.229689
151.0,2000,102511.904374
147.0,2000,102780.693057
136.0,488,102846.361496
118.0,1386,103034.081748
0.0,284,103072.246636
0.0,196,103098.737846
1.0,36,103103.733791
123.0,304,103144.709585
-5.0,114,103159.753015
140.0,2000,103430.980042
-5.0,468,103495.350333
19.0,60,103503.657694
71.0,132,103522.341515
141.0,1968,103786.325735
140.0,641,103872.119827
86.0,216,103901.28149
140.0,313,103943.86917
143.0,1548,104153.126252
137.0,1072,104297.193681
-5.0,18,104299.478386
58.0,108,104313.881539
133.0,380,104364.37556
134.0,328,104407.789477
-5.0,23,104410.995502
149.0,2000,104674.220493
70.0,653,104760.740802
150.0,2000,105032.577779
146.0,292,105072.572326
156.0,2000,105345.465556
116.0,979,105478.232049
10.0,96,105491.100673
-5.0,14,105492.89589
82.0,529,105564.689523
-5.0,18,105567.073472
142.0,1536,105775.845082
111.0,2000,106046.899959
-5.0,244,106079.65819
124.0,352,106127.880322
-5.0,23,106131.067145
-5.0,116,106146.620481
130.0,404,106200.568196
97.0,152,106220.801913
136.0,740,106319.524985
7.0,44,106325.800493
113.0,668,106415.041646
143.0,2000,106685.92038
-5.0,112,106702.28175
-2.0,128,106720.861587
107.0,188,106747.897642
-5.0,20,106750.853599
74.0,100,106765.405389
-5.0,20,106768.357721
147.0,2000,107055.391669
149.0,2000,107337.920465
109.0,176,107361.765258
65.0,84,107373.133561
-5.0,18,107375.416001
150.0,2000,107644.117654
4.0,207,107672.942403
150.0,2000,107944.002741
146.0,968,108072.585532
140.0,384,108123.765558
139.0,301,108163.881352
142.0,506,108231.707398
-5.0,27,108235.481516
135.0,728,108331.837475
153.0,2000,108610.112548
151.0,2000,108899.691695
-5.0,51,108906.886566
148.0,2000,109182.420574
133.0,866,109297.37619
-5.0,16,109299.586447
136.0,164,109321.245335
9.0,32,109325.509668
131.0,933,109448.328682
127.0,484,109512.253532
135.0,2000,109791.041687
64.0,508,109863.857779
84.0,96,109877.633911
73.0,780,109989.861905
151.0,2000,110274.516356
129.0,2000,110543.310363
131.0,2000,110815.432845
-5.0,19,110818.186998
133.0,2000,111108.453439
3.0,220,111141.093458
-5.0,19,111144.133964
150.0,2000,111435.448562
-3.0,20,111438.462147
3.0,28,111442.530855
134.0,2000,111724.498077
128.0,516,111797.502158
107.0,104,111812.289381
-4.0,16,111814.665588
63.0,142,111834.48141
38.0,64,111843.741855
-3.0,20,111846.653631
-2.0,20,111849.584377
131.0,1072,111999.801821
-5.0,36,112004.954479
128.0,191,112031.939569
-5.0,20,112034.943058
127.0,193,112062.845495
135.0,2000,112348.680668
0.0,77,112359.62906
136.0,1965,112641.205865
-5.0,40,112646.725662
